cibil_score,applicant_income,coapplicant_income,loan_amount,loan_tenure_months,existing_debts,credit_card_utilization,delinquent_lines_2yrs,credit_history_years,employment_status,education,home_ownership,loan_purpose,loan_status
608,772800.0,0.0,696000.0,48,207600.0,0.74,0,6.0,Self-Employed,Graduate,RENT,Personal,0
726,544800.0,0.0,836000.0,24,91200.0,0.31,1,5.1,Salaried,Post Graduate,RENT,Business,0
679,840000.0,0.0,418000.0,48,303600.0,0.8,0,4.1,Salaried,Professional,RENT,Personal,0
740,1359600.0,0.0,5562000.0,120,392400.0,0.16,1,8.6,Salaried,Graduate,OWN,Home,0
762,517200.0,312000.0,955000.0,36,230400.0,0.24,0,7.6,Self-Employed,Professional,OWN,Business,0
730,517200.0,0.0,616000.0,48,2400.0,0.41,0,7.8,Self-Employed,Graduate,RENT,Personal,1
692,1401600.0,0.0,6719000.0,120,276000.0,0.74,0,11.9,Salaried,Graduate,RENT,Home,0
543,897600.0,230400.0,2080000.0,240,164400.0,0.43,0,7.3,Salaried,Graduate,RENT,Home,0
673,454800.0,0.0,585000.0,60,88800.0,0.35,2,8.9,Salaried,Post Graduate,OWN,Personal,0
626,793200.0,502800.0,6533000.0,180,315600.0,0.38,0,5.1,Salaried,Post Graduate,RENT,Home,0
709,456000.0,270000.0,2859000.0,120,82800.0,0.3,0,0.8,Salaried,Post Graduate,RENT,Home,0
729,454800.0,0.0,384000.0,36,163200.0,0.39,0,6.4,Salaried,Graduate,RENT,Personal,0
762,672000.0,555600.0,4155000.0,300,190800.0,0.4,0,15.4,Self-Employed,Post Graduate,OWN,Home,1
777,216000.0,328800.0,231000.0,48,48000.0,0.41,2,3.4,Salaried,Professional,OWN,Personal,1
760,228000.0,0.0,100000.0,12,70800.0,0.25,0,6.1,Salaried,Post Graduate,RENT,Business,0
797,432000.0,0.0,316000.0,48,44400.0,0.18,0,3.8,Self-Employed,Post Graduate,RENT,Vehicle,1
688,337200.0,0.0,428000.0,36,21600.0,0.23,0,0.5,Salaried,Professional,OWN,Personal,0
755,699600.0,193200.0,303000.0,36,304800.0,0.47,0,10.5,Self-Employed,Post Graduate,OWN,Education,1
584,357600.0,428400.0,3159000.0,240,63600.0,0.21,0,3.6,Salaried,Graduate,MORTGAGE,Home,0
566,270000.0,0.0,263000.0,24,37200.0,0.12,2,4.4,Self-Employed,Post Graduate,OWN,Personal,0
746,1317600.0,445200.0,531000.0,60,157200.0,0.41,1,1.6,Salaried,Undergraduate,MORTGAGE,Personal,1
652,519600.0,0.0,1820000.0,180,145200.0,0.32,0,18.3,Salaried,Graduate,RENT,Home,0
807,610800.0,513600.0,1612000.0,48,273600.0,0.6,4,11.4,Self-Employed,Graduate,OWN,Personal,0
678,268800.0,326400.0,190000.0,36,108000.0,0.21,0,11.9,Salaried,Graduate,RENT,Personal,1
591,435600.0,0.0,577000.0,36,78000.0,0.59,0,10.1,Salaried,Graduate,RENT,Vehicle,0
805,625200.0,292800.0,1216000.0,24,252000.0,0.16,0,6.3,Salaried,Post Graduate,MORTGAGE,Business,0
603,312000.0,266400.0,2239000.0,180,63600.0,0.15,0,6.7,Salaried,Post Graduate,MORTGAGE,Home,0
518,723600.0,697200.0,4198000.0,300,36000.0,0.46,0,2.7,Salaried,Professional,OWN,Home,0
631,422400.0,0.0,749000.0,36,36000.0,0.62,1,4.0,Salaried,Professional,OWN,Business,0
809,501600.0,553200.0,195000.0,36,55200.0,0.41,0,7.0,Salaried,Graduate,RENT,Personal,1
726,422400.0,261600.0,857000.0,48,174000.0,0.43,0,4.5,Salaried,Graduate,OWN,Personal,0
775,1629600.0,0.0,546000.0,24,717600.0,0.42,0,5.1,Unemployed,Post Graduate,RENT,Business,0
724,584400.0,0.0,273000.0,60,60000.0,0.63,0,5.0,Salaried,Graduate,RENT,Vehicle,1
757,328800.0,0.0,96000.0,36,60000.0,0.36,0,2.5,Business,Graduate,OWN,Personal,1
729,925200.0,237600.0,411000.0,84,409200.0,0.46,0,5.8,Self-Employed,Graduate,OWN,Vehicle,1
685,300000.0,232800.0,501000.0,120,114000.0,0.72,0,11.5,Salaried,Graduate,MORTGAGE,Education,1
820,660000.0,0.0,974000.0,24,132000.0,0.33,0,8.8,Self-Employed,Graduate,RENT,Personal,0
768,216000.0,238800.0,1500000.0,240,44400.0,0.3,1,1.1,Salaried,Graduate,RENT,Home,0
635,283200.0,0.0,356000.0,60,111600.0,0.62,0,14.0,Salaried,Graduate,RENT,Personal,0
643,655200.0,876000.0,1058000.0,36,8400.0,0.57,0,8.2,Self-Employed,Post Graduate,MORTGAGE,Vehicle,1
808,883200.0,0.0,1134000.0,36,369600.0,0.41,0,8.3,Business,Undergraduate,RENT,Vehicle,0
719,646800.0,0.0,592000.0,36,26400.0,0.41,0,7.6,Business,Graduate,MORTGAGE,Personal,1
717,552000.0,0.0,345000.0,48,224400.0,0.37,4,11.8,Salaried,Undergraduate,OWN,Vehicle,0
751,498000.0,0.0,518000.0,60,14400.0,0.52,0,3.0,Self-Employed,Graduate,OWN,Vehicle,1
722,260400.0,256800.0,422000.0,24,114000.0,0.76,1,6.4,Business,Graduate,RENT,Personal,0
660,396000.0,315600.0,2721000.0,240,1200.0,0.13,0,4.0,Salaried,Graduate,MORTGAGE,Home,1
661,456000.0,0.0,292000.0,48,198000.0,0.5,2,12.8,Salaried,Graduate,RENT,Vehicle,0
738,1052400.0,0.0,1905000.0,180,30000.0,0.05,0,11.1,Salaried,Graduate,RENT,Home,1
581,710400.0,0.0,1307000.0,12,39600.0,0.52,4,4.4,Self-Employed,Graduate,RENT,Business,0
637,223200.0,337200.0,788000.0,36,97200.0,0.31,1,2.4,Salaried,Graduate,OWN,Personal,0
757,703200.0,168000.0,771000.0,36,250800.0,0.84,0,2.8,Business,Post Graduate,OWN,Personal,0
583,476400.0,0.0,498000.0,84,180000.0,0.18,1,3.4,Salaried,Graduate,RENT,Vehicle,0
556,405600.0,190800.0,698000.0,84,79200.0,0.53,0,3.2,Salaried,Graduate,OWN,Vehicle,0
751,823200.0,0.0,982000.0,12,30000.0,0.54,0,11.8,Business,Graduate,MORTGAGE,Business,0
755,1036800.0,254400.0,1509000.0,24,69600.0,0.54,2,7.6,Unemployed,Graduate,OWN,Personal,0
627,981600.0,412800.0,6689000.0,240,408000.0,0.61,2,5.7,Salaried,Graduate,RENT,Home,0
807,370800.0,613200.0,3405000.0,240,63600.0,0.3,0,0.5,Business,Graduate,MORTGAGE,Home,1
718,496800.0,789600.0,1291000.0,60,169200.0,0.47,0,2.0,Salaried,Professional,RENT,Education,1
642,705600.0,100800.0,2972000.0,120,219600.0,0.3,1,1.4,Salaried,Post Graduate,OWN,Home,0
677,1005600.0,235200.0,2203000.0,60,214800.0,0.71,0,3.5,Self-Employed,Graduate,OWN,Education,0
486,452400.0,307200.0,939000.0,36,175200.0,0.17,2,9.5,Self-Employed,Graduate,RENT,Personal,0
761,531600.0,0.0,1500000.0,240,156000.0,0.59,0,6.7,Business,Post Graduate,OWN,Home,0
747,320400.0,0.0,407000.0,36,106800.0,0.73,3,11.7,Salaried,Professional,RENT,Personal,0
754,304800.0,0.0,415000.0,36,115200.0,0.41,1,0.5,Unemployed,Undergraduate,RENT,Business,0
803,919200.0,380400.0,360000.0,60,92400.0,0.21,1,2.5,Self-Employed,Graduate,MORTGAGE,Personal,1
580,1240800.0,0.0,3956000.0,180,163200.0,0.46,0,11.7,Salaried,Graduate,RENT,Home,0
588,565200.0,0.0,425000.0,36,192000.0,0.62,0,14.8,Salaried,Post Graduate,OWN,Personal,0
578,1021200.0,0.0,320000.0,12,381600.0,0.21,0,5.8,Business,Post Graduate,RENT,Business,0
516,717600.0,0.0,539000.0,48,193200.0,0.17,1,13.6,Salaried,Post Graduate,OWN,Vehicle,0
749,412800.0,393600.0,1212000.0,36,184800.0,0.58,0,4.3,Salaried,Graduate,MORTGAGE,Business,0
791,717600.0,367200.0,1612000.0,48,283200.0,0.15,0,4.9,Salaried,Graduate,RENT,Personal,1
681,1370400.0,498000.0,2000000.0,36,493200.0,0.09,0,4.2,Salaried,Graduate,OWN,Personal,0
575,577200.0,116400.0,2373000.0,120,63600.0,0.15,0,2.1,Self-Employed,Post Graduate,OWN,Home,0
632,1390800.0,772800.0,1349000.0,36,208800.0,0.33,0,7.1,Self-Employed,Graduate,OWN,Vehicle,1
795,216000.0,0.0,240000.0,48,34800.0,0.65,0,7.9,Self-Employed,Post Graduate,OWN,Personal,1
767,924000.0,0.0,594000.0,48,38400.0,0.34,0,1.9,Salaried,Post Graduate,RENT,Vehicle,1
731,616800.0,318000.0,414000.0,12,202800.0,0.71,0,5.4,Salaried,Post Graduate,RENT,Personal,0
702,499200.0,0.0,394000.0,36,92400.0,0.34,0,4.4,Business,Post Graduate,MORTGAGE,Vehicle,1
694,619200.0,0.0,2395000.0,120,172800.0,0.36,0,12.9,Salaried,Graduate,OWN,Home,0
553,216000.0,351600.0,2879000.0,120,68400.0,0.11,0,9.1,Self-Employed,Post Graduate,MORTGAGE,Home,0
804,520800.0,0.0,2616000.0,180,2400.0,0.3,0,8.7,Salaried,Undergraduate,RENT,Home,1
769,716400.0,0.0,913000.0,24,15600.0,0.32,0,11.6,Salaried,Post Graduate,MORTGAGE,Personal,0
698,1326000.0,0.0,1833000.0,36,200400.0,0.45,0,7.9,Salaried,Graduate,RENT,Business,0
733,442800.0,0.0,557000.0,84,130800.0,0.69,3,7.3,Business,Graduate,OWN,Education,0
760,376800.0,0.0,1512000.0,240,81600.0,0.34,1,17.3,Business,Graduate,MORTGAGE,Home,0
667,446400.0,0.0,2252000.0,240,188400.0,0.42,0,4.7,Salaried,Post Graduate,RENT,Home,0
678,973200.0,212400.0,770000.0,24,112800.0,0.53,1,12.3,Self-Employed,Graduate,OWN,Personal,0
693,704400.0,229200.0,1500000.0,300,32400.0,0.29,1,0.7,Self-Employed,Professional,OWN,Home,1
535,439200.0,0.0,2033000.0,180,22800.0,0.36,0,12.6,Salaried,Professional,MORTGAGE,Home,0
597,780000.0,381600.0,3363000.0,180,79200.0,0.59,0,7.1,Salaried,Graduate,RENT,Home,0
726,620400.0,0.0,950000.0,60,66000.0,0.31,0,7.8,Salaried,Graduate,OWN,Education,1
783,1002000.0,0.0,245000.0,60,170400.0,0.45,1,6.8,Salaried,Professional,RENT,Personal,1
831,399600.0,0.0,257000.0,48,102000.0,0.47,0,10.8,Salaried,Post Graduate,OWN,Personal,1
590,490800.0,553200.0,4417000.0,180,55200.0,0.74,0,7.0,Salaried,Professional,MORTGAGE,Home,0
526,474000.0,0.0,414000.0,60,110400.0,0.36,0,10.4,Self-Employed,Graduate,OWN,Vehicle,0
748,262800.0,232800.0,593000.0,60,56400.0,0.52,0,9.8,Salaried,Post Graduate,OWN,Personal,1
718,692400.0,318000.0,1650000.0,240,96000.0,0.4,0,9.9,Self-Employed,Post Graduate,OWN,Home,1
806,679200.0,0.0,368000.0,24,133200.0,0.35,0,5.6,Salaried,Graduate,RENT,Personal,1
813,590400.0,255600.0,1202000.0,84,102000.0,0.65,0,3.6,Business,Graduate,RENT,Education,1
724,517200.0,562800.0,3510000.0,180,220800.0,0.84,1,6.9,Business,Graduate,RENT,Home,0
693,270000.0,0.0,269000.0,60,8400.0,0.46,0,6.4,Salaried,Post Graduate,RENT,Education,1
